S. No.,Item name*,Item code,Purchase,Sale Price,In stock,
1,BIOTIQUE BIO HONEY GEL,8906009459943,90,120,2,
2,NESTLE EVERY DAY,,2,3,-8,
3,TEA CHAI READY TO EAT,,15,25,9,
4,BRU INSTANT,8901030783029,9,10,8,
5,PARLE CHATKEENS KHATTA M,8901719120251,79,200,5,
6,DISPOSAL PLATE APPLE 25,36000367065,37,90,30,
7,WHISPER ULTRA CLEAN XL 4,,215,430,3,
8,VLCC HEENA NATURAL HERBA,8907122006625,40,60,3,
9,CATCH CHAN MASALA 100GM,8901192207111,60,65,0,
10,VENUS REFILLIES,4902430857277,330,350,1,
11,WHISPER XL+ 44 PADS,4902430473194,215,430,4,
12,VIM 3UX200G,8901030860416,45,52,4,
13,3IN1 NOTE BOOK 172 PAGES,,30,45,38,
14,5 STAR CHOCOLATE BIG PAC,7622201771812,140,149,5,
15,5 STAR CLEANING JOONA SE,,40,48,0,
16,A4 NoteBook 112 Pg 3in1,,14,20,200,
17,A4 NoteBook 112 Pg E,,14,20,200,
18,A4 NoteBook 112 Pg H,,14,20,320,
19,A4 NOTEBOOK 192 PAGE,,23,30,140,
20,AARAMBH OATS 1 KG PP,,110,220,0,
21,ACT II BUTTER PARTY PACK,8901512558206,36,65,13,
22,ACT II CHEESE & HERBS 55,8901512808806,0,40,1,
23,ACT II GOLDEN 60 GM,8901512546005,20,22,6,
24,ACT II MAGIC BUTTER CLAS,8901512540805,9,10,11,
25,ACT II NACHOZ MINIS 24 G,8901512509802,9,10,0,
26,ACT II NACHOZ MINIS 24 G,,0,10,-2,
27,ALL OUT ULTRA MOSQUITOES,8906006430624,358,390,-2,
28,ALL OUT ULTRA MOSQUITOES,,65,70,6,
29,ALOEVER NEEM TULSI HAND,,140,275,5,
30,ALPENLIEBE JUST JELLY,8901393024227,40,50,0,
31,ALPENLIEBE LOLLIPOP G,,6,5,-4,
32,ALPENLIEBE LOLLIPOP 40 G,8901393018745,28.5,30,1,
33,AMRUTANJAN JOINT MUSCLE,8901803001329,140,175,2,
34,AMUL BUTTER 1 KG,8901262010306,450,505,1,
35,AMUL BUTTER 100 GM,8901262010016,46,50,1,
36,AMUL BUTTER 20 GM,,9.4,10,37,
37,AMUL DARK CHOCOLATE 150,8901262070676,88,100,0,
38,AMUL INDIA DARK CHOCOLAT,8901262072052,132,150,11,
39,AMUL INDIA TWILIGHT DARK,8901262071703,75,150,3,
40,AMUL SUGAR FREE DARK CHO,8901262071048,110,125,0,
41,ANMOL YUMMY ORANGE FLAVO,8902268000421,4,5,0,
42,APSARA WAX CRAYON COLOR,8901324013900,6.5,10,98,
43,ASHIRWAD SHUDH CHAKKI AA,,179,199,-2,
44,AUTHENTIC INDIAN 70 G,8906063434375,27,30,0,
45,AXE CHOCOLATE PERFUME 15,8901030834264,200,210,2,
46,AXE DUAL ACTION TECHNOLO,8901030834295,200,230,1,
47,AXE PROVOKE 150 ML,8901030768569,190,200,2,
48,AXE SIGNATURE AFTER SAVE,8901030611186,100,130,0,
49,B NATURAL GUAVA JUICE,8901725100117,100,110,12,
50,B NATURAL LITCHI JUIC,8901725100032,55,110,7,
51,B NATURAL MIXED JUICE,8901725100025,55,110,44,
52,BAIDYANATH GULKAND,8901220615369,250,260,2,
53,BALLOONS 50 PIC MIX,,50,100,0,
54,BALOON BLOWER,,35,70,3,
55,BALOON BLOWER MANUAL COL,855660005625,30,40,4,
56,BALOON HEART AND MULTI C,,60,100,9,
57,BALOON SINGLE COLOR 50 P,,45,60,15,
58,BALOON TAPE BALOON GLUE,,10,20,25,
59,BASKET SHOPPING BASKET,,99,160,8,
60,BAULI MOONFILS ORANGE PU,8908009419408,11.25,15,5,
61,BAULI SAVORIZ 52G PP,8908009419774,13.4,20,4,
62,BAYGON MOSQUITO & FLY KI,8904271200287,147,182,4,
63,BB ROYAL BAJRA FLOUR 500,,27,0,5,
64,"BB ROYAL CORN FLOUR, STA",,37,0,6,
65,BEST FARM FROZEN GREEN P,8902901066456,75,150,5,
66,BIG BLUE 2 IN 1 SCRUB,205777000126,28,38,0,
67,BIKANO BHELPURI 200 GM,,44,50,1,
68,BIKANO KAJU MIX 200 GM,8901414000896,70,80,0,
69,BIKANO KHATTA MEETHA 250,8901414010482,44,50,0,
70,BIKANO NAMKEEM 85 GM,8901414004498,22,25,7,
71,BIKANO NAVRATTAN MIXTURE,8901414010475,44,50,0,
72,BIKANO SHAHI MIXTURE,8901414015500,20,25,0,
73,BIKANO TASTY,8901414004481,20,25,5,
74,BINGO CHIPS CREAM AND ON,8901725119973,9,10,0,
75,BINGO MAD ANGLE 72 G,,18,20,-1,
76,BINGO MAD ANGLE CHAAT MA,8901725198428,9,10,9,
77,BINGO MAD ANGLES CHEESE,8901725109844,25,50,0,
78,BIOTIQUE BIO APRICOT,8906009451565,170,180,0,
79,BISLERY CLUB SODA 750 ML,8906017290774,10,20,11,
80,BISLERY LIMONATA 160ml,8906017291245,8,10,-4,
81,BISLERY WATER BOTTLE 1 L,8906017290040,15,20,-2,
82,BLACK BOURNBON PARLE HID,8901719112485,27,30,0,
83,BLUSHING STRAWBERRY,8901030775925,69.92,99,3,
84,BORO PLUS ANTISEPTIC MOI,,28,55,12,
85,"BORO PLUS HAND WASH TEA,",8901248158084,35,85,35,
86,BOURN VITA BISCUITS 100,7622201778781,13,27,21,
87,BOURNVITA 1 KG,,315,410,0,
88,BOURNVITA 500 GM,7622201423155,193,223,0,
89,BREATH EZ N95 MASK,8106102589749,10,49,18,
90,BRITANIA BAKE SUJI TOAST,,9,10,1,
91,BRITANIA GOODDAY BUTTER,,4.5,5,12,
92,BRITANIA LITTLE HEARTS 7,8901063019027,28,22,0,
